,invoice_no,customer_id,gender,age,category,quantity,price,payment_method,invoice_date,shopping_mall
0,I138884,C241288,Female,28,Clothing,5,1500.4,Credit Card,5/8/2022,Kanyon
1,I317333,C111565,Male,21,Shoes,3,1800.51,Debit Card,12/12/2021,Forum Istanbul
2,I127801,C266599,Male,20,Clothing,1,300.08,Cash,9/11/2021,Metrocity
3,I173702,C988172,Female,66,Shoes,5,3000.85,Credit Card,16/05/2021,Metropol AVM
4,I337046,C189076,Female,53,Books,4,60.6,Cash,24/10/2021,Kanyon
5,I227836,C657758,Female,28,Clothing,5,1500.4,Credit Card,24/05/2022,Forum Istanbul
6,I121056,C151197,Female,49,Cosmetics,1,40.66,Cash,13/03/2022,Istinye Park
7,I293112,C176086,Female,32,Clothing,2,600.16,Credit Card,13/01/2021,Mall of Istanbul
8,I293455,C159642,Male,69,Clothing,3,900.24,Credit Card,4/11/2021,Metrocity
9,I326945,C283361,Female,60,Clothing,2,600.16,Credit Card,22/08/2021,Kanyon
10,I306368,C240286,Female,36,Food & Beverage,2,10.46,Cash,25/12/2022,Metrocity
11,I139207,C191708,Female,29,Books,1,15.15,Credit Card,28/10/2022,Emaar Square Mall
12,I640508,C225330,Female,67,Toys,4,143.36,Debit Card,31/07/2022,Metrocity
13,I179802,C312861,Male,25,Clothing,2,600.16,Cash,17/11/2022,Cevahir AVM
14,I336189,C555402,Female,67,Clothing,2,600.16,Credit Card,3/6/2022,Kanyon
15,I688768,C362288,Male,24,Shoes,5,3000.85,Credit Card,7/11/2021,Viaport Outlet
16,I294687,C300786,Male,65,Books,2,30.3,Debit Card,16/01/2021,Metrocity
17,I195744,C330667,Female,42,Food & Beverage,3,15.69,Credit Card,5/1/2022,Zorlu Center
18,I993048,C218149,Female,46,Clothing,2,600.16,Cash,26/07/2021,Metropol AVM
19,I992454,C196845,Male,24,Toys,4,143.36,Cash,7/3/2023,Cevahir AVM
20,I183746,C220180,Male,23,Clothing,1,300.08,Credit Card,15/02/2023,Emaar Square Mall
21,I412481,C125696,Female,27,Food & Beverage,1,5.23,Cash,1/5/2021,Cevahir AVM
22,I823067,C322947,Male,52,Clothing,2,600.16,Credit Card,18/06/2022,Cevahir AVM
23,I252275,C313348,Male,44,Technology,5,5250.0,Cash,26/10/2021,Kanyon
24,I174250,C204553,Female,42,Books,5,75.75,Cash,16/12/2022,Metrocity
25,I195396,C285161,Male,51,Toys,2,71.68,Debit Card,16/05/2021,Istinye Park
26,I196704,C289625,Female,25,Cosmetics,5,203.3,Credit Card,20/04/2022,Mall of Istanbul
27,I217053,C192344,Male,50,Shoes,4,2400.68,Cash,10/10/2022,Emaar Square Mall
28,I655874,C447138,Female,65,Shoes,3,1800.51,Cash,23/08/2022,Cevahir AVM
29,I209744,C251229,Male,29,Cosmetics,3,121.98,Credit Card,29/04/2021,Istinye Park
30,I161949,C159164,Female,66,Toys,3,107.52,Debit Card,4/7/2022,Mall of Istanbul
31,I331891,C501658,Male,23,Clothing,1,300.08,Credit Card,21/11/2021,Emaar Square Mall
32,I768348,C176727,Female,32,Shoes,3,1800.51,Credit Card,23/02/2022,Kanyon
33,I109053,C232624,Male,51,Clothing,4,1200.32,Debit Card,11/7/2021,Metrocity
34,I167211,C164092,Female,66,Shoes,4,2400.68,Credit Card,30/08/2022,Zorlu Center
35,I339732,C276887,Male,68,Food & Beverage,1,5.23,Credit Card,4/1/2023,Emaar Square Mall
36,I147062,C245456,Male,43,Clothing,5,1500.4,Credit Card,21/06/2022,Kanyon
37,I187519,C450287,Female,59,Clothing,2,600.16,Credit Card,8/7/2022,Metrocity
38,I106674,C204279,Male,54,Clothing,2,600.16,Cash,27/02/2022,Kanyon
39,I473411,C452806,Male,24,Clothing,1,300.08,Cash,19/12/2022,Metropol AVM
40,I246550,C716788,Female,49,Food & Beverage,3,15.69,Cash,10/9/2021,Zorlu Center
41,I138674,C155059,Male,67,Cosmetics,2,81.32,Credit Card,14/02/2022,Metropol AVM
42,I752693,C306662,Female,48,Cosmetics,3,121.98,Cash,28/04/2022,Metrocity
43,I826174,C607615,Female,40,Shoes,4,2400.68,Cash,20/06/2022,Metrocity
44,I296025,C120164,Female,41,Shoes,3,1800.51,Credit Card,21/04/2022,Kanyon
45,I117291,C134449,Male,46,Books,5,75.75,Credit Card,9/12/2022,Zorlu Center
46,I267193,C317818,Female,19,Cosmetics,3,121.98,Credit Card,12/1/2023,Mall of Istanbul
47,I205366,C241642,Female,43,Clothing,4,1200.32,Debit Card,7/11/2022,Zorlu Center
48,I269690,C126436,Male,18,Cosmetics,3,121.98,Debit Card,7/2/2022,Zorlu Center
49,I304265,C653385,Female,22,Books,5,75.75,Debit Card,13/06/2021,Forum Istanbul
50,I246562,C227070,Female,61,Cosmetics,5,203.3,Cash,23/08/2021,Emaar Square Mall
51,I202367,C317478,Female,41,Books,3,45.45,Cash,24/02/2023,Istinye Park
52,I664787,C237330,Female,53,Cosmetics,2,81.32,Credit Card,12/1/2023,Istinye Park
53,I160777,C626042,Female,43,Technology,4,4200.0,Cash,22/02/2022,Metrocity
54,I137794,C133687,Female,45,Food & Beverage,3,15.69,Debit Card,12/3/2021,Viaport Outlet
55,I148377,C841663,Female,29,Clothing,1,300.08,Cash,2/1/2022,Istinye Park
56,I258195,C213742,Male,43,Toys,2,71.68,Cash,26/11/2021,Kanyon
57,I300213,C962515,Female,19,Clothing,4,1200.32,Credit Card,21/04/2021,Kanyon
58,I263803,C112279,Female,67,Food & Beverage,3,15.69,Cash,23/06/2021,Kanyon
59,I335713,C158837,Female,36,Books,4,60.6,Cash,14/12/2021,Kanyon
60,I133061,C336576,Male,64,Clothing,5,1500.4,Credit Card,9/6/2022,Mall of Istanbul
61,I207205,C716161,Female,33,Clothing,1,300.08,Debit Card,26/11/2021,Kanyon
62,I209289,C439382,Female,33,Clothing,4,1200.32,Credit Card,5/2/2021,Kanyon
63,I157285,C123427,Male,66,Clothing,4,1200.32,Cash,6/3/2022,Mall of Istanbul
64,I218590,C224743,Female,29,Cosmetics,4,162.64,Debit Card,9/5/2022,Metropol AVM
65,I181109,C119549,Male,22,Toys,3,107.52,Cash,17/10/2022,Mall of Istanbul
66,I221715,C187266,Female,63,Food & Beverage,3,15.69,Cash,22/01/2022,Cevahir AVM
67,I204979,C173084,Female,24,Souvenir,5,58.65,Debit Card,14/03/2021,Istinye Park
