year,month,day,tmax,tmin,precip,snow,snowcover
1897,1,1,-998,-998,-998.00,-998.0,-998
1897,1,2,-998,-998,-998.00,-998.0,-998
1897,1,3,-998,-998,-998.00,-998.0,-998
1897,1,4,-998,-998,-998.00,-998.0,-998
1897,1,5,-998,-998,-998.00,-998.0,-998
1897,1,6,-998,-998,-998.00,-998.0,-998
1897,1,7,-998,-998,-998.00,-998.0,-998
1897,1,8,-998,-998,-998.00,-998.0,-998
1897,1,9,-998,-998,-998.00,-998.0,-998
1897,1,10,-998,-998,-998.00,-998.0,-998
1897,1,11,-998,-998,-998.00,-998.0,-998
1897,1,12,-998,-998,-998.00,-998.0,-998
1897,1,13,-998,-998,-998.00,-998.0,-998
1897,1,14,-998,-998,-998.00,-998.0,-998
1897,1,15,-998,-998,-998.00,-998.0,-998
1897,1,16,-998,-998,-998.00,-998.0,-998
1897,1,17,-998,-998,-998.00,-998.0,-998
1897,1,18,-998,-998,-998.00,-998.0,-998
1897,1,19,-998,-998,-998.00,-998.0,-998
1897,1,20,-998,-998,-998.00,-998.0,-998
1897,1,21,-998,-998,-998.00,-998.0,-998
1897,1,22,-998,-998,-998.00,-998.0,-998
1897,1,23,-998,-998,-998.00,-998.0,-998
1897,1,24,-998,-998,-998.00,-998.0,-998
1897,1,25,-998,-998,-998.00,-998.0,-998
1897,1,26,-998,-998,-998.00,-998.0,-998
1897,1,27,-998,-998,-998.00,-998.0,-998
1897,1,28,-998,-998,-998.00,-998.0,-998
1897,1,29,-998,-998,-998.00,-998.0,-998
1897,1,30,-998,-998,-998.00,-998.0,-998
1897,1,31,-998,-998,-998.00,-998.0,-998
1897,2,1,-998,-998,-998.00,-998.0,-998
1897,2,2,-998,-998,-998.00,-998.0,-998
1897,2,3,-998,-998,-998.00,-998.0,-998
1897,2,4,-998,-998,-998.00,-998.0,-998
1897,2,5,-998,-998,-998.00,-998.0,-998
1897,2,6,-998,-998,-998.00,-998.0,-998
1897,2,7,-998,-998,-998.00,-998.0,-998
1897,2,8,-998,-998,-998.00,-998.0,-998
1897,2,9,-998,-998,-998.00,-998.0,-998
1897,2,10,-998,-998,-998.00,-998.0,-998
1897,2,11,-998,-998,-998.00,-998.0,-998
1897,2,12,-998,-998,-998.00,-998.0,-998
1897,2,13,-998,-998,-998.00,-998.0,-998
1897,2,14,-998,-998,-998.00,-998.0,-998
1897,2,15,-998,-998,-998.00,-998.0,-998
1897,2,16,-998,-998,-998.00,-998.0,-998
1897,2,17,-998,-998,-998.00,-998.0,-998
1897,2,18,-998,-998,-998.00,-998.0,-998
1897,2,19,-998,-998,-998.00,-998.0,-998
1897,2,20,-998,-998,-998.00,-998.0,-998
1897,2,21,-998,-998,-998.00,-998.0,-998
1897,2,22,-998,-998,-998.00,-998.0,-998
1897,2,23,-998,-998,-998.00,-998.0,-998
1897,2,24,-998,-998,-998.00,-998.0,-998
1897,2,25,-998,-998,-998.00,-998.0,-998
1897,2,26,-998,-998,-998.00,-998.0,-998
1897,2,27,-998,-998,-998.00,-998.0,-998
1897,2,28,-998,-998,-998.00,-998.0,-998
1897,2,29,-998,-998,-998.00,-998.0,-998
1897,3,1,-998,-998,-998.00,-998.0,-998
1897,3,2,-998,-998,-998.00,-998.0,-998
1897,3,3,-998,-998,-998.00,-998.0,-998
1897,3,4,-998,-998,-998.00,-998.0,-998
1897,3,5,-998,-998,-998.00,-998.0,-998
1897,3,6,-998,-998,-998.00,-998.0,-998
1897,3,7,-998,-998,-998.00,-998.0,-998
1897,3,8,-998,-998,-998.00,-998.0,-998
1897,3,9,-998,-998,-998.00,-998.0,-998
1897,3,10,-998,-998,-998.00,-998.0,-998
1897,3,11,-998,-998,-998.00,-998.0,-998
1897,3,12,-998,-998,-998.00,-998.0,-998
1897,3,13,-998,-998,-998.00,-998.0,-998
1897,3,14,-998,-998,-998.00,-998.0,-998
1897,3,15,-998,-998,-998.00,-998.0,-998
1897,3,16,-998,-998,-998.00,-998.0,-998
1897,3,17,-998,-998,-998.00,-998.0,-998
1897,3,18,-998,-998,-998.00,-998.0,-998
