year,month,day,tmax,tmin,precip,snow,snowcover
2000,1,1,54,29,0.00,-998.0,-998
2000,1,2,43,22,0.00,-998.0,-998
2000,1,3,36,19,0.08,-998.0,-998
2000,1,4,49,13,0.00,-998.0,-998
2000,1,5,47,26,0.00,-998.0,-998
2000,1,6,42,16,0.00,-998.0,-998
2000,1,7,47,19,0.00,-998.0,-998
2000,1,8,50,23,0.00,-998.0,-998
2000,1,9,47,29,0.00,-998.0,-998
2000,1,10,42,30,0.00,-998.0,-998
2000,1,11,61,17,0.00,-998.0,-998
2000,1,12,58,41,0.00,-998.0,-998
2000,1,13,41,25,0.00,-998.0,-998
2000,1,14,64,25,0.00,-998.0,-998
2000,1,15,63,34,0.00,-998.0,-998
2000,1,16,49,22,0.00,-998.0,-998
2000,1,17,64,30,0.00,-998.0,-998
2000,1,18,51,35,0.00,-998.0,-998
2000,1,19,56,32,0.03,-998.0,-998
2000,1,20,54,21,0.00,-998.0,-998
2000,1,21,53,31,0.00,-998.0,-998
2000,1,22,47,32,0.00,-998.0,-998
2000,1,23,42,29,0.00,-998.0,-998
2000,1,24,53,24,0.00,-998.0,-998
2000,1,25,48,23,0.00,-998.0,-998
2000,1,26,44,21,0.03,-998.0,-998
2000,1,27,35,27,0.15,-998.0,-998
2000,1,28,36,28,0.00,-998.0,-998
2000,1,29,33,22,0.00,-998.0,-998
2000,1,30,34,12,0.00,-998.0,-998
2000,1,31,42,16,0.00,-998.0,-998
2000,2,1,46,20,0.00,-998.0,-998
2000,2,2,65,30,0.00,-998.0,-998
2000,2,3,61,27,0.00,-998.0,-998
2000,2,4,40,18,0.00,-998.0,-998
2000,2,5,60,22,0.00,-998.0,-998
2000,2,6,57,30,0.00,-998.0,-998
2000,2,7,56,27,0.00,-998.0,-998
2000,2,8,61,34,0.00,-998.0,-998
2000,2,9,57,37,0.00,-998.0,-998
2000,2,10,50,34,0.00,-998.0,-998
2000,2,11,42,21,0.02,-998.0,-998
2000,2,12,43,19,0.00,-998.0,-998
2000,2,13,47,22,0.00,-998.0,-998
2000,2,14,61,37,0.00,-998.0,-998
2000,2,15,55,37,0.00,-998.0,-998
2000,2,16,52,25,0.00,-998.0,-998
2000,2,17,46,26,0.19,-998.0,-998
2000,2,18,34,19,0.33,-998.0,-998
2000,2,19,48,15,0.00,-998.0,-998
2000,2,20,57,20,0.00,-998.0,-998
2000,2,21,65,33,0.00,-998.0,-998
2000,2,22,58,35,0.00,-998.0,-998
2000,2,23,60,40,0.01,-998.0,-998
2000,2,24,58,31,0.00,-998.0,-998
2000,2,25,49,32,0.00,-998.0,-998
2000,2,26,54,31,0.00,-998.0,-998
2000,2,27,63,28,0.00,-998.0,-998
2000,2,28,66,32,0.00,-998.0,-998
2000,2,29,57,32,0.00,-998.0,-998
2000,3,1,57,28,0.00,-998.0,-998
2000,3,2,50,35,0.00,-998.0,-998
2000,3,3,58,26,0.00,-998.0,-998
2000,3,4,66,30,0.00,-998.0,-998
2000,3,5,64,35,0.00,-998.0,-998
2000,3,6,60,36,0.00,-998.0,-998
2000,3,7,58,35,0.00,-998.0,-998
2000,3,8,57,41,0.00,-998.0,-998
2000,3,9,46,27,0.02,-998.0,-998
2000,3,10,42,24,0.00,-998.0,-998
2000,3,11,57,22,0.00,-998.0,-998
2000,3,12,50,32,0.00,-998.0,-998
2000,3,13,58,23,0.00,-998.0,-998
2000,3,14,59,25,0.00,-998.0,-998
2000,3,15,55,29,0.73,-998.0,-998
2000,3,16,43,23,0.46,-998.0,-998
2000,3,17,46,20,0.00,-998.0,-998
2000,3,18,44,29,0.00,-998.0,-998
2000,3,19,64,24,0.00,-998.0,-998
2000,3,20,51,27,0.10,-998.0,-998
2000,3,21,38,25,0.20,-998.0,-998
2000,3,22,46,25,0.00,-998.0,-998
2000,3,23,64,29,0.00,-998.0,-998
2000,3,24,63,40,0.00,-998.0,-998
2000,3,25,63,31,0.00,-998.0,-998
2000,3,26,65,39,0.00,-998.0,-998
2000,3,27,73,32,0.00,-998.0,-998
2000,3,28,70,34,0.00,-998.0,-998
2000,3,29,59,35,0.00,-998.0,-998
2000,3,30,49,31,0.45,-998.0,-998
2000,3,31,61,29,0.60,-998.0,-998
2000,4,1,47,20,0.03,-998.0,-998
2000,4,2,51,30,0.26,-998.0,-998
2000,4,3,40,17,0.07,-998.0,-998
2000,4,4,74,30,0.00,-998.0,-998
2000,4,5,75,51,0.00,-998.0,-998
2000,4,6,72,34,0.00,-998.0,-998
2000,4,7,65,32,0.00,-998.0,-998
2000,4,8,66,25,0.00,-998.0,-998
2000,4,9,74,38,0.00,-998.0,-998
2000,4,10,74,39,0.00,-998.0,-998
2000,4,11,63,34,0.02,-998.0,-998
2000,4,12,72,32,0.00,-998.0,-998
2000,4,13,76,34,0.00,-998.0,-998
2000,4,14,76,41,0.00,-998.0,-998
2000,4,15,59,27,0.31,-998.0,-998
2000,4,16,63,26,0.00,-998.0,-998
2000,4,17,75,36,0.00,-998.0,-998
2000,4,18,79,46,0.00,-998.0,-998
2000,4,19,61,32,0.00,-998.0,-998
2000,4,20,67,33,0.00,-998.0,-998
2000,4,21,75,36,0.00,-998.0,-998
2000,4,22,70,42,0.05,-998.0,-998
2000,4,23,68,42,0.12,-998.0,-998
2000,4,24,66,40,0.03,-998.0,-998
2000,4,25,67,32,0.00,-998.0,-998
2000,4,26,77,42,0.00,-998.0,-998
2000,4,27,72,41,0.00,-998.0,-998
2000,4,28,70,35,0.00,-998.0,-998
2000,4,29,72,43,0.01,-998.0,-998
2000,4,30,62,36,0.60,-998.0,-998
2000,5,1,68,33,0.00,-998.0,-998
2000,5,2,76,38,0.00,-998.0,-998
2000,5,3,78,47,0.00,-998.0,-998
2000,5,4,88,47,0.00,-998.0,-998
2000,5,5,89,54,0.00,-998.0,-998
2000,5,6,87,53,0.00,-998.0,-998
2000,5,7,83,51,0.00,-998.0,-998
2000,5,8,71,41,0.52,-998.0,-998
2000,5,9,71,36,0.10,-998.0,-998
2000,5,10,72,45,0.00,-998.0,-998
2000,5,11,75,44,0.00,-998.0,-998
2000,5,12,56,31,0.03,-998.0,-998
2000,5,13,62,28,0.00,-998.0,-998
2000,5,14,66,38,0.00,-998.0,-998
2000,5,15,83,41,0.00,-998.0,-998
2000,5,16,80,44,0.00,-998.0,-998
2000,5,17,74,25,0.43,-998.0,-998
2000,5,18,51,39,0.09,-998.0,-998
2000,5,19,67,47,0.02,-998.0,-998
2000,5,20,68,47,0.02,-998.0,-998
2000,5,21,79,43,0.00,-998.0,-998
2000,5,22,84,49,0.00,-998.0,-998
2000,5,23,90,56,0.00,-998.0,-998
2000,5,24,87,55,0.18,-998.0,-998
2000,5,25,75,46,0.18,-998.0,-998
2000,5,26,72,49,0.00,-998.0,-998
2000,5,27,80,44,0.00,-998.0,-998
2000,5,28,95,58,0.00,-998.0,-998
2000,5,29,95,72,0.00,-998.0,-998
2000,5,30,76,54,0.00,-998.0,-998
2000,5,31,76,52,0.03,-998.0,-998
2000,6,1,78,44,0.00,-998.0,-998
2000,6,2,79,44,0.00,-998.0,-998
2000,6,3,92,49,0.00,-998.0,-998
2000,6,4,89,57,0.00,-998.0,-998
2000,6,5,75,45,0.00,-998.0,-998
2000,6,6,95,51,0.00,-998.0,-998
2000,6,7,95,59,0.00,-998.0,-998
2000,6,8,96,58,0.00,-998.0,-998
2000,6,9,86,62,0.00,-998.0,-998
2000,6,10,85,53,0.00,-998.0,-998
2000,6,11,84,49,0.00,-998.0,-998
2000,6,12,90,50,0.00,-998.0,-998
2000,6,13,83,62,0.00,-998.0,-998
2000,6,14,82,45,0.00,-998.0,-998
2000,6,15,90,56,0.00,-998.0,-998
2000,6,16,59,46,0.02,-998.0,-998
2000,6,17,62,40,0.31,-998.0,-998
2000,6,18,76,62,0.02,-998.0,-998
2000,6,19,83,60,0.00,-998.0,-998
2000,6,20,82,52,0.08,-998.0,-998
2000,6,21,82,41,0.00,-998.0,-998
2000,6,22,91,52,0.00,-998.0,-998
2000,6,23,92,62,0.00,-998.0,-998
2000,6,24,89,57,0.00,-998.0,-998
2000,6,25,86,55,0.15,-998.0,-998
2000,6,26,61,50,0.85,-998.0,-998
2000,6,27,73,49,0.10,-998.0,-998
2000,6,28,68,51,0.00,-998.0,-998
2000,6,29,90,48,0.00,-998.0,-998
2000,6,30,90,52,0.00,-998.0,-998
2000,7,1,90,57,0.00,-998.0,-998
2000,7,2,90,57,0.00,-998.0,-998
2000,7,3,90,58,0.06,-998.0,-998
2000,7,4,93,59,0.00,-998.0,-998
2000,7,5,91,60,0.00,-998.0,-998
2000,7,6,98,58,0.00,-998.0,-998
2000,7,7,93,64,0.00,-998.0,-998
2000,7,8,91,59,0.00,-998.0,-998
2000,7,9,90,64,0.00,-998.0,-998
2000,7,10,87,68,0.12,-998.0,-998
2000,7,11,90,57,0.00,-998.0,-998
2000,7,12,87,59,0.00,-998.0,-998
2000,7,13,92,55,0.00,-998.0,-998
2000,7,14,95,59,0.00,-998.0,-998
2000,7,15,97,63,0.00,-998.0,-998
2000,7,16,87,67,0.00,-998.0,-998
2000,7,17,77,57,1.81,-998.0,-998
2000,7,18,89,57,0.05,-998.0,-998
2000,7,19,88,55,0.00,-998.0,-998
2000,7,20,85,56,0.00,-998.0,-998
2000,7,21,85,54,0.00,-998.0,-998
2000,7,22,86,77,0.00,-998.0,-998
2000,7,23,95,53,0.00,-998.0,-998
2000,7,24,95,65,0.02,-998.0,-998
2000,7,25,91,57,0.00,-998.0,-998
2000,7,26,92,64,0.00,-998.0,-998
2000,7,27,88,61,0.01,-998.0,-998
2000,7,28,87,57,0.02,-998.0,-998
2000,7,29,89,56,0.00,-998.0,-998
2000,7,30,88,56,0.00,-998.0,-998
2000,7,31,89,55,0.00,-998.0,-998
2000,8,1,96,58,0.00,0.0,0
